iter	Passed	Remaining
247	769	2331
248	771	2326
249	773	2321
250	776	2316
251	778	2310
252	780	2304
253	782	2299
254	785	2294
255	787	2289
256	789	2283
257	792	2278
258	794	2272
259	796	2267
260	799	2262
261	801	2257
262	803	2252
263	806	2247
264	808	2242
265	811	2238
266	813	2233
267	815	2228
268	818	2223
269	820	2218
270	822	2212
271	825	2208
272	827	2204
273	830	2199
274	832	2194
275	834	2189
276	837	2184
277	839	2180
278	841	2175
279	844	2171
280	846	2166
281	848	2161
282	851	2156
283	853	2152
284	856	2148
285	858	2143
286	860	2138
287	863	2134
288	865	2129
289	869	2128
290	871	2124
291	874	2119
292	876	2114
293	878	2110
294	881	2105
295	883	2101
296	885	2096
297	888	2092
298	890	2087
299	892	2083
300	895	2078
301	897	2073
302	899	2069
303	901	2064
304	904	2060
305	906	2055
306	908	2051
307	911	2047
308	913	2042
309	915	2038
310	918	2033
311	920	2029
312	923	2026
313	925	2023
314	929	2020
315	931	2016
316	933	2011
317	935	2007
318	938	2003
319	940	1998
320	942	1994
321	945	1990
322	947	1985
323	949	1981
324	952	1977
325	954	1973
326	956	1969
327	959	1965
328	961	1961
329	964	1958
330	967	1955
331	969	1950
332	971	1946
333	974	1942
334	976	1938
335	979	1935
336	982	1932
337	984	1928
338	987	1924
339	989	1920
340	992	1918
341	994	1914
342	997	1909
343	999	1905
344	1001	1901
345	1003	1897
346	1006	1893
347	1008	1889
348	1011	1885
349	1013	1881
350	1015	1877
351	1017	1873
352	1020	1871
353	1024	1869
354	1026	1865
355	1029	1861
356	1031	1858
357	1034	1854
358	1037	1852
359	1040	1849
360	1042	1845
361	1044	1841
362	1047	1837
363	1049	1833
364	1052	1831
365	1055	1827
366	1057	1823
367	1059	1820
368	1062	1816
369	1064	1812
370	1066	1808
371	1069	1805
372	1071	1801
373	1074	1797
374	1076	1793
375	1078	1790
376	1081	1786
377	1083	1782
378	1085	1779
379	1087	1775
380	1090	1771
381	1092	1767
382	1095	1764
383	1097	1760
384	1099	1756
385	1102	1753
386	1104	1749
387	1106	1745
388	1109	1742
389	1111	1738
390	1113	1734
391	1116	1731
392	1118	1727
393	1120	1724
394	1123	1720
395	1125	1717
396	1128	1713
397	1130	1709
398	1132	1706
399	1135	1703
400	1137	1699
401	1140	1696
402	1142	1692
403	1144	1688
404	1147	1685
405	1149	1682
406	1152	1679
407	1155	1677
408	1159	1674
409	1162	1672
410	1165	1670
411	1167	1666
412	1170	1663
413	1172	1659
414	1174	1656
415	1177	1653
416	1179	1649
417	1182	1646
418	1184	1642
419	1187	1639
420	1189	1636
421	1192	1632
422	1194	1629
423	1196	1625
424	1199	1622
425	1201	1618
426	1203	1615
427	1206	1611
428	1208	1608
429	1210	1604
430	1213	1601
431	1215	1598
432	1217	1594
433	1220	1591
434	1222	1588
435	1225	1584
436	1227	1581
437	1229	1577
438	1232	1574
439	1234	1571
440	1237	1568
