iter	Passed	Remaining
535	4358	3773
536	4363	3762
537	4378	3759
538	4395	3759
539	4405	3753
540	4417	3748
541	4424	3739
542	4429	3727
543	4435	3717
544	4439	3706
545	4453	3702
546	4464	3697
547	4470	3687
548	4482	3681
549	4486	3671
550	4499	3666
551	4530	3676
552	4535	3665
553	4545	3659
554	4549	3647
555	4557	3639
556	4561	3627
557	4564	3615
558	4573	3608
559	4577	3596
560	4581	3584
561	4593	3579
562	4602	3572
563	4614	3566
564	4625	3561
565	4633	3553
566	4655	3555
567	4661	3545
568	4674	3540
569	4774	3601
570	4797	3604
571	4803	3593
572	4820	3592
573	4831	3586
574	4840	3577
575	4863	3579
576	4878	3576
577	4893	3572
578	4908	3568
579	4928	3568
580	4940	3562
581	4952	3556
582	4956	3544
583	4959	3532
584	4967	3524
585	4971	3512
586	4974	3500
587	4983	3492
588	4987	3480
589	4990	3468
590	5000	3460
591	5004	3449
592	5011	3439
593	5016	3429
594	5027	3421
595	5031	3410
596	5034	3398
597	5037	3386
598	5046	3378
599	5049	3366
600	5052	3354
601	5061	3346
602	5064	3334
603	5068	3322
604	5075	3313
605	5078	3302
606	5082	3290
607	5092	3283
608	5096	3271
609	5099	3260
610	5105	3250
611	5108	3238
612	5114	3228
613	5117	3217
614	5120	3205
615	5124	3194
616	5134	3187
617	5137	3175
618	5140	3164
619	5149	3155
620	5153	3145
621	5169	3141
622	5181	3135
623	5184	3123
624	5190	3114
625	5197	3105
626	5201	3094
627	5210	3086
628	5213	3075
629	5217	3064
630	5226	3056
631	5230	3045
632	5233	3034
633	5240	3025
634	5243	3013
635	5247	3003
636	5253	2993
637	5257	2982
638	5260	2971
639	5263	2960
640	5269	2950
641	5272	2939
642	5275	2928
643	5281	2919
644	5284	2908
645	5288	2898
646	5292	2887
647	5295	2876
648	5299	2866
649	5302	2855
650	5306	2844
651	5316	2837
652	5319	2826
653	5328	2818
654	5332	2808
655	5343	2802
656	5347	2791
657	5351	2781
658	5359	2773
659	5362	2762
660	5366	2752
661	5369	2741
662	5373	2731
663	5377	2721
664	5384	2712
665	5388	2702
666	5392	2692
667	5396	2681
